

2_nyt_mln	0.35	0.5652	39.0	30.0
bth: 2_nyt_mln	0.0	0.5735	0.1781	0.2718
3_nyt_psl	0.35	0.641	50.0	28.0
bth: 3_nyt_psl	0.0	0.6494	0.2283	0.3378
3_nyt_bf	0.35	0.7051	55.0	23.0
bth: 3_nyt_bf	0.0	0.7013	0.2466	0.3649
3_nyt_mln	0.35	0.4651	40.0	46.0
bth: 3_nyt_mln	0.01	0.4815	0.1781	0.26
4_nyt_psl	0.35	0.6667	44.0	22.0
bth: 4_nyt_psl	0.0	0.6615	0.1963	0.3028
4_nyt_bf	0.35	0.8667	39.0	6.0
bth: 4_nyt_bf	0.0	0.8636	0.1735	0.289
4_nyt_mln	0.35	0.5584	43.0	34.0
bth: 4_nyt_mln	0.0	0.5658	0.1963	0.2915
2_kbp_psl	0.35	0.5937	171.0	117.0
bth: 2_kbp_psl	0.01	0.6	0.5856	0.5927
2_kbp_bf	0.35	0.5	113.0	113.0
bth: 2_kbp_bf	0.04	0.5556	0.3767	0.449
2_kbp_mln	0.35	0.6794	142.0	67.0
bth: 2_kbp_mln	0.03	0.7196	0.4658	0.5655
3_kbp_psl	0.35	0.64	160.0	90.0
bth: 3_kbp_psl	0.0	0.6426	0.5479	0.5915
3_kbp_bf	0.35	0.472	118.0	132.0
bth: 3_kbp_bf	0.02	0.4855	0.4007	0.439
3_kbp_mln	0.35	0.6547	146.0	77.0
bth: 3_kbp_mln	0.0	0.6516	0.4932	0.5614
4_kbp_psl	0.35	0.65	156.0	84.0
bth: 4_kbp_psl	0.0	0.6527	0.5342	0.5876
4_kbp_bf	0.35	0.5806	126.0	91.0
bth: 4_kbp_bf	0.0	0.5833	0.4315	0.4961
4_kbp_mln	0.35	0.6699	138.0	68.0
bth: 4_kbp_mln	0.0	0.6683	0.4692	0.5513
2_g_psl	0.35	0.883	317.0	42.0
bth: 2_g_psl	0.0	0.8827	0.5593	0.6847
2_g_bf	0.35	0.8044	436.0	106.0
bth: 2_g_bf	0.01	0.8074	0.7717	0.7891
2_g_mln	0.35	0.8639	311.0	49.0
bth: 2_g_mln	0.0	0.8639	0.5504	0.6724
3_g_psl	0.35	0.9395	295.0	19.0
bth: 3_g_psl	0.0	0.9395	0.5221	0.6712
3_g_bf	0.35	0.8004	397.0	99.0
bth: 3_g_bf	0.0	0.802	0.7027	0.7491
3_g_mln	0.35	0.844	357.0	66.0
bth: 3_g_mln	0.0	0.844	0.6319	0.7227
4_g_psl	0.35	0.9128	356.0	34.0
bth: 4_g_psl	0.0	0.9126	0.6283	0.7442
4_g_bf	0.35	0.8528	336.0	58.0
bth: 4_g_bf	0.0	0.8524	0.5929	0.6994
4_g_mln	0.35	0.8252	373.0	79.0
bth: 4_g_mln	0.0	0.8252	0.6602	0.7335



2_nyt_psl	0.35	0.7069	41.0	17.0
2_nyt_bf	0.35	0.6939	34.0	15.0
2_nyt_mln	0.35	0.5652	39.0	30.0
3_nyt_psl	0.35	0.641	50.0	28.0
3_nyt_bf	0.35	0.7051	55.0	23.0
3_nyt_mln	0.35	0.4651	40.0	46.0
4_nyt_psl	0.35	0.6667	44.0	22.0
4_nyt_bf	0.35	0.8667	39.0	6.0
4_nyt_mln	0.35	0.5584	43.0	34.0
2_kbp_psl	0.35	0.5937	171.0	117.0
2_kbp_bf	0.35	0.5	113.0	113.0
2_kbp_mln	0.35	0.6794	142.0	67.0
3_kbp_psl	0.35	0.64	160.0	90.0
3_kbp_bf	0.35	0.472	118.0	132.0
3_kbp_mln	0.35	0.6547	146.0	77.0
4_kbp_psl	0.35	0.65	156.0	84.0
4_kbp_bf	0.35	0.5806	126.0	91.0
4_kbp_mln	0.35	0.6699	138.0	68.0
